sample_number,sample_date,lead_amount_ppm
1573342,2014-04-24,3.71e-4
1575166,2014-04-25,5e-5
1575151,2014-04-25,1.3e-4
1583822,2014-04-25,5e-5
1583826,2014-04-25,5.16e-4
1583934,2014-04-25,0.00478
1583973,2014-04-25,3.13e-4
1575003,2014-04-25,0.00117
1574999,2014-04-27,2e-4
1575169,2014-04-27,8.02e-4
1573047,2014-04-27,5e-5
1575172,2014-04-28,0.00713
1588957,2014-04-28,0.00266
1580513,2014-04-28,5.18e-5
1573370,2014-04-29,5.29e-4
1575143,2014-04-29,0.223
1575142,2014-04-29,9.63e-5
1575140,2014-04-29,0.00322
1575141,2014-04-30,1.39e-4
1575197,2014-04-30,0.00181
1575144,2014-04-30,0.0132
1579034,2014-05-01,1.85e-4
1579033,2014-05-01,7.49e-5
1581170,2014-05-02,6.64e-5
1581212,2014-05-02,1.03e-4
1579035,2014-05-02,5e-5
1579030,2014-05-05,0.00317
1597243,2014-05-05,0.00304
1581054,2014-05-06,6.61e-5
1578468,2014-05-06,0.00212
1581183,2014-05-07,1.21e-4
1581108,2014-05-07,8.47e-5
1581049,2014-05-07,6.39e-4
1581155,2014-05-08,0.00443
1581148,2014-05-08,0.00311
1580517,2014-05-09,2.56e-4
1582495,2014-05-09,0.00676
1581188,2014-05-09,7.01e-4
1580518,2014-05-09,5e-5
1581134,2014-05-09,1.15e-4
1581078,2014-05-10,0.00823
1581154,2014-05-12,7.27e-4
1581047,2014-05-12,1.31e-4
1581050,2014-05-12,9.31e-5
1580538,2014-05-12,0.00215
1583573,2014-05-13,1.35e-4
1584762,2014-05-13,4.73e-4
1598336,2014-05-13,0.00104
1582347,2014-05-14,0.00143
1580516,2014-05-14,7.19e-5
1583612,2014-05-14,0.00461
1583609,2014-05-15,6.58e-4
1583870,2014-05-16,1.58e-4
1583369,2014-05-16,3.08e-4
1583375,2014-05-16,0.00102
1583924,2014-05-16,0.00597
1583579,2014-05-16,0.0202
1583561,2014-05-16,0.00104
1583576,2014-05-16,0.00613
1583373,2014-05-17,8.16e-4
1583545,2014-05-18,0.00651
1583581,2014-05-19,0.0016
1583566,2014-05-20,0.0049
1583859,2014-05-20,0.001
1587107,2014-05-20,3.96e-4
1583467,2014-05-20,7.89e-5
1587735,2014-05-20,0.00349
1583575,2014-05-20,1.05e-4
1583815,2014-05-20,0.00667
1583577,2014-05-20,6.5e-4
1583469,2014-05-20,4.36e-4
1584733,2014-05-20,0.00429
1583932,2014-05-20,0.00331
1583770,2014-05-20,0.00149
1584726,2014-05-20,0.00473
1583580,2014-05-20,0.00436
1583800,2014-05-20,0.00234
1583939,2014-05-20,0.0018
1584745,2014-05-20,1.37e-4
1586775,2014-05-20,0.00537
1583862,2014-05-20,0.011
1583796,2014-05-20,0.00153
1583835,2014-05-20,0.00597
1583918,2014-05-20,5e-5
1584972,2014-05-20,0.00551
1584808,2014-05-20,6.25e-5
1583615,2014-05-20,5e-5
1583565,2014-05-20,5e-5
1583925,2014-05-20,1.51e-4
1583930,2014-05-20,0.00422
1583611,2014-05-20,9.34e-5
1583917,2014-05-20,0.00308
1584912,2014-05-20,0.00213
1585445,2014-05-20,2.34e-4
1583318,2014-05-20,0.00258
1584756,2014-05-20,6.89e-5
1583368,2014-05-20,2.25e-4
1583362,2014-05-20,1.99e-4
1583610,2014-05-20,0.00526
1588673,2014-05-20,1.58e-4
1583517,2014-05-20,5.59e-5
1583538,2014-05-20,2.58e-4
1583308,2014-05-20,1.18e-4
1583527,2014-05-20,1.59e-4
1583563,2014-05-20,1.29e-4
1583280,2014-05-20,1.33e-4
